section_id,section_name
AC I,ACCOUNT CURRENT-I
AC II,ACCOUNT CURRENT-II
AC III,ACCOUNT CURRENT-III
AM,ACCOUNTS MISCELLANEOUS
ADMIN I,ADMINISTRATION-I
ADMIN II,ADMINISTRATION-II
ADMIN III,ADMINISTRATION-III
AGRI,AGRICULTURE ACCOUNTS
AP,APPROPRIATION ACCOUNTS
BW,BOOK WORKS
BOOK I,BOOK-I
BOOK II,BOOK-II
BOOK III,BOOK-III
BACS01,BRANCH OFFICER (ACCOUNTS-I) [BACS01]
BACS06,BRANCH OFFICER (ACCOUNTS-VI) [BACS06]
BACS10,BRANCH OFFICER (ACCOUNTS-X) [BACS10]
BADM02,BRANCH OFFICER (ADMIN-II) [BADM02]
BFND02,BRANCH OFFICER (FUND-II) [BFND02]
BFND03,BRANCH OFFICER (FUND-III) [BFND03]
BFND04,BRANCH OFFICER (FUND-XVI) [BFND04]
BADM05,BRANCH OFFICER (ITSC) [BADM05]
BADM04,BRANCH OFFICER (LEGAL CELL) [BADM04]
BPEN01,BRANCH OFFICER (PENSION-I) [BPEN01]
BADM03,BRANCH OFFICER (RECORD) [BADM03]
BADM07,BRANCH OFFICER (WELFARE) [BADM07]
BS I,BROADSHEET-I
BS II,BROADSHEET-II
BS III,BROADSHEET-III
BS IV,BROADSHEET-V
BUDGET,BUDGET
CARETAKING,CARETAKING ESTABLISHMENT
CGF,CORE GROUP FUND
CR CELL,CR CELL
DEPOSIT,DEPOSIT
DIGITIZATION CELL,DIGITIZATION CELL
FOREST,FOREST ACCOUNTS
FA,FUND ACCOUNTS
FM,FUND MISCELLANEOUS
FUND I,FUND-I
FUND II,FUND-II
FUND III,FUND-III
FUND IV,FUND-IV
FUND IX,FUND-IX
FUND V,FUND-V
FUND VI,FUND-VI
FUND VII,FUND-VII
FUND VIII,FUND-VIII
FUND X,FUND-X
FUND XI,FUND-XI
FUND XII,FUND-XII
FUND XIII,FUND-XIII
FUND XIV,FUND-XIV
FUND XV,FUND-XV
FUND XVI,FUND-XVI
FUND XVII,FUND-XVII
GENERAL ADMIN,GENERAL ADMINISTRATION
GST,GST AND OTHER TAXES
INDUSTRY,INDUSTRY ACCOOUNTS
IADI,INTERNAL AUDIT DEPARTMENT-I
IADII,INTERNAL AUDIT DEPARTMENT-II
IAD III,INTERNAL AUDIT DEPARTMENT-III
IAD IV,INTERNAL AUDIT DEPARTMENT-IV
IAD V,INTERNAL AUDIT DEPARTMENT-V
BIAD01,INTERNAL AUDIT OFFICER [BIAD01]
IRRIGATION,IRRIGATION ACCOUNTS
ITSC,IT SUPPORT CELL
JAIL,JAIL & HOUSING
LEGAL,LEGAL CELL
MED I,MEDICAL ACS-I
MED II,MEDICAL ACS-II
MED III,MEDICAL ACS-III
MIDDLEWARE,MIDDLEWARE CELL
MISC,MISCELLANEOUS ACCOUNTS
PAO AUDIT,PAO AUDIT PENSION
PAO COMP,PAO COMPILATION
PAO FUND,PAO FUND
PEN LIB,PENSION LIBRARY
PAO NPS,PAO NPS CELL
PRECHECK I,PAO PRECHECK-I
PRECHECK II,PAO PRECHECK-II
PAO SPCL,PAO SPECIAL CELL
BACS16,PAY AND ACCOUNTS OFFICER-II [BACS16]
PC I,PENSION CELL-I
PC II,PENSION CELL-II
PC III,PENSION CELL-III
PEN COMP,PENSION COMPILATION
PEN COORD,PENSION COORDINATION
PEN EDP,PENSION EDP
PEN PAY,PENSION PAYMENT
PPA,PENSION PRE-AUDIT
PRD,PENSION RECEIPT AND DISPATCH (PRD)
PEN I,PENSION-I
PEN II,PENSION-II
PEN III,PENSION-III
PEN IV,PENSION-IV
PEN IX,PENSION-IX
PEN V,PENSION-V
PEN VI,PENSION-VI
PEN VII,PENSION-VII
PEN VIII,PENSION-VIII
PEN X,PENSION-X
PEN XI,PENSION-XI
PEN XII,PENSION-XII
PEN XIII,PENSION-XIII
POLICE,POLICE ACCOUNTS
PHE,PUBLIC HEALTH ACCOUNTS
PWD,PUBLIC WORKS ESTABLISHMENT
RCC,RECORD COMPUTER CELL
REC LIB,RECORD LIBRARY
REC I,RECORD-I
REC III,RECORD-III
RRD,RR & RD ACCOUNTS
BSEC01,SECRETARY TO PR. AG. [BSEC01]
SS,SS ACCOUNTS
TRAINING,TRAINING SECTION
TA I,TREASURY ACCOUNTS-I
TA II,TREASURY ACCOUNTS-II
TA III,TREASURY ACCOUNTS-III
TA IV,TREASURY ACCOUNTS-IV
VLC,VOUCHER LEVEL COMPUTERISATION
WELFARE,WELFARE SECTION
WORKS II,WORKS ACCOUNTS-II
WM,WORKS MISCELLANEOUS SECTION
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
RCC,
